FID,PageName,PageNumber,area,a_weight,regional
97,B26,98,40686.355023900003289,0.132379306339000,greenland
98,B27,99,40686.355023900003289,0.132379306339000,greenland
99,B28,100,40686.355023900003289,0.132379306339000,greenland
100,B29,101,40686.355023900003289,0.132379306339000,greenland
101,B30,102,40686.355023900003289,0.132379306339000,greenland
102,B31,103,40686.355023900003289,0.132379306339000,greenland
103,B32,104,40686.355023900003289,0.132379306339000,
104,B33,105,40686.355023900003289,0.132379306339000,
105,B34,106,40686.355023900003289,0.132379306339000,
106,B35,107,40686.355023900003289,0.132379306339000,
107,B36,108,40686.355023900003289,0.132379306339000,
108,B37,109,40686.355023900003289,0.132379306339000,
109,B38,110,40686.355023900003289,0.132379306339000,
110,B39,111,40686.355023900003289,0.132379306339000,
111,B40,112,40686.355023900003289,0.132379306339000,
112,B41,113,40686.355023900003289,0.132379306339000,
113,B42,114,40686.355023900003289,0.132379306339000,
114,B43,115,40686.355023900003289,0.132379306339000,
115,B44,116,40686.355023900003289,0.132379306339000,
116,B45,117,40686.355023900003289,0.132379306339000,
117,B46,118,40686.355023900003289,0.132379306339000,
118,B47,119,40686.355023900003289,0.132379306339000,
119,B48,120,40686.355023900003289,0.132379306339000,
120,B49,121,40686.355023900003289,0.132379306339000,
121,B50,122,40686.355023900003289,0.132379306339000,
122,B51,123,40686.355023900003289,0.132379306339000,
123,B52,124,40686.355023900003289,0.132379306339000,
124,B53,125,40686.355023900003289,0.132379306339000,
125,B54,126,40686.355023900003289,0.132379306339000,
126,B55,127,40686.355023900003289,0.132379306339000,
127,B56,128,40686.355023900003289,0.132379306339000,
128,B57,129,40686.355023900003289,0.132379306339000,
129,B58,130,40686.355023900003289,0.132379306339000,
130,B59,131,40686.355023900003289,0.132379306339000,
131,B60,132,40686.355023900003289,0.132379306339000,
132,B61,133,40686.355023900003289,0.132379306339000,
133,B62,134,40686.355023900003289,0.132379306339000,
134,B63,135,40686.355023900003289,0.132379306339000,
135,B64,136,40686.355023900003289,0.132379306339000,
136,B65,137,40686.355023900003289,0.132379306339000,
137,B66,138,40686.355023900003289,0.132379306339000,
138,B67,139,40686.355023900003289,0.132379306339000,
139,B68,140,40686.355023900003289,0.132379306339000,
140,B69,141,40686.355023900003289,0.132379306339000,
141,B70,142,40686.355023900003289,0.132379306339000,
142,B71,143,40686.355023900003289,0.132379306339000,
143,B72,144,40686.261777699997765,0.132379002948000,
144,C1,145,67439.269872699995176,0.219424024602000,
145,C2,146,67439.424432500003604,0.219424527486000,
146,C3,147,67439.424432500003604,0.219424527486000,
147,C4,148,67439.424432500003604,0.219424527486000,
148,C5,149,67439.424432500003604,0.219424527486000,
149,C6,150,67439.424432500003604,0.219424527486000,
150,C7,151,67439.424432500003604,0.219424527486000,
151,C8,152,67439.424432500003604,0.219424527486000,
152,C9,153,67439.424432500003604,0.219424527486000,
153,C10,154,67439.424432500003604,0.219424527486000,
154,C11,155,67439.424432500003604,0.219424527486000,
155,C12,156,67439.424432500003604,0.219424527486000,c_canada
156,C13,157,67439.424432500003604,0.219424527486000,c_canada
157,C14,158,67439.424432500003604,0.219424527486000,c_canada
158,C15,159,67439.424432500003604,0.219424527486000,c_canada
159,C16,160,67439.424432500003604,0.219424527486000,c_canada
160,C17,161,67439.424432500003604,0.219424527486000,
161,C18,162,67439.424432500003604,0.219424527486000,
162,C19,163,67439.424432500003604,0.219424527486000,
163,C20,164,67439.424432500003604,0.219424527486000,
164,C21,165,67439.424432500003604,0.219424527486000,greenland
165,C22,166,67439.424432500003604,0.219424527486000,greenland
166,C23,167,67439.424432500003604,0.219424527486000,greenland
167,C24,168,67439.424432500003604,0.219424527486000,greenland
168,C25,169,67439.424432500003604,0.219424527486000,greenland
169,C26,170,67439.424432500003604,0.219424527486000,greenland
170,C27,171,67439.424432500003604,0.219424527486000,greenland
171,C28,172,67439.424432500003604,0.219424527486000,greenland
172,C29,173,67439.424432500003604,0.219424527486000,greenland
173,C30,174,67439.424432500003604,0.219424527486000,greenland
174,C31,175,67439.424432500003604,0.219424527486000,greenland
175,C32,176,67439.424432500003604,0.219424527486000,greenland
176,C33,177,67439.424432500003604,0.219424527486000,greenland
177,C34,178,67439.424432500003604,0.219424527486000,
178,C35,179,67439.424432500003604,0.219424527486000,
179,C36,180,67439.424432500003604,0.219424527486000,
180,C37,181,67439.424432500003604,0.219424527486000,scandinavia
181,C38,182,67439.424432500003604,0.219424527486000,scandinavia
182,C39,183,67439.424432500003604,0.219424527486000,scandinavia
183,C40,184,67439.424432500003604,0.219424527486000,scandinavia
184,C41,185,67439.424432500003604,0.219424527486000,scandinavia
185,C42,186,67439.424432500003604,0.219424527486000,scandinavia
186,C43,187,67439.424432500003604,0.219424527486000,scandinavia
187,C44,188,67439.424432500003604,0.219424527486000,scandinavia
188,C45,189,67439.424432500003604,0.219424527486000,
189,C46,190,67439.424432500003604,0.219424527486000,
190,C47,191,67439.424432500003604,0.219424527486000,
191,C48,192,67439.424432500003604,0.219424527486000,
192,C49,193,67439.424432500003604,0.219424527486000,
193,C50,194,67439.424432500003604,0.219424527486000,
194,C51,195,67439.424432500003604,0.219424527486000,
195,C52,196,67439.424432500003604,0.219424527486000,
196,C53,197,67439.424432500003604,0.219424527486000,
197,C54,198,67439.424432500003604,0.219424527486000,
198,C55,199,67439.424432500003604,0.219424527486000,
199,C56,200,67439.424432500003604,0.219424527486000,
200,C57,201,67439.424432500003604,0.219424527486000,
201,C58,202,67439.424432500003604,0.219424527486000,
202,C59,203,67439.424432500003604,0.219424527486000,
203,C60,204,67439.424432500003604,0.219424527486000,
204,C61,205,67439.424432500003604,0.219424527486000,
205,C62,206,67439.424432500003604,0.219424527486000,
206,C63,207,67439.424432500003604,0.219424527486000,
207,C64,208,67439.424432500003604,0.219424527486000,
208,C65,209,67439.424432500003604,0.219424527486000,
209,C66,210,67439.424432500003604,0.219424527486000,
210,C67,211,67439.424432500003604,0.219424527486000,
211,C68,212,67439.424432500003604,0.219424527486000,
212,C69,213,67439.424432500003604,0.219424527486000,
213,C70,214,67439.424432500003604,0.219424527486000,
214,C71,215,67439.424432500003604,0.219424527486000,
215,C72,216,67439.269872699995176,0.219424024602000,
216,D1,217,93640.470731299996260,0.304673656643000,
217,D2,218,93640.685339999996359,0.304674354906000,
218,D3,219,93640.685339999996359,0.304674354906000,alaska_yukon
219,D4,220,93640.685339999996359,0.304674354906000,alaska_yukon
220,D5,221,93640.685339999996359,0.304674354906000,alaska_yukon
221,D6,222,93640.685339999996359,0.304674354906000,alaska_yukon
222,D7,223,93640.685339999996359,0.304674354906000,alaska_yukon
223,D8,224,93640.685339999996359,0.304674354906000,alaska_yukon
224,D9,225,93640.685339999996359,0.304674354906000,alaska_yukon
225,D10,226,93640.685339999996359,0.304674354906000,alaska_yukon
226,D11,227,93640.685339999996359,0.304674354906000,alaska_yukon
227,D12,228,93640.685339999996359,0.304674354906000,c_canada
228,D13,229,93640.685339999996359,0.304674354906000,c_canada
229,D14,230,93640.685339999996359,0.304674354906000,c_canada
230,D15,231,93640.685339999996359,0.304674354906000,c_canada
231,D16,232,93640.685339999996359,0.304674354906000,c_canada
232,D17,233,93640.685339999996359,0.304674354906000,c_canada
233,D18,234,93640.685339999996359,0.304674354906000,c_canada
234,D19,235,93640.685339999996359,0.304674354906000,
235,D20,236,93640.685339999996359,0.304674354906000,
236,D21,237,93640.685339999996359,0.304674354906000,greenland
237,D22,238,93640.685339999996359,0.304674354906000,greenland
238,D23,239,93640.685339999996359,0.304674354906000,greenland
239,D24,240,93640.685339999996359,0.304674354906000,greenland
240,D25,241,93640.685339999996359,0.304674354906000,greenland
241,D26,242,93640.685339999996359,0.304674354906000,greenland
242,D27,243,93640.685339999996359,0.304674354906000,greenland
243,D28,244,93640.685339999996359,0.304674354906000,greenland
244,D29,245,93640.685339999996359,0.304674354906000,greenland
245,D30,246,93640.685339999996359,0.304674354906000,greenland
246,D31,247,93640.685339999996359,0.304674354906000,greenland
247,D32,248,93640.685339999996359,0.304674354906000,
248,D33,249,93640.685339999996359,0.304674354906000,
249,D34,250,93640.685339999996359,0.304674354906000,
250,D35,251,93640.685339999996359,0.304674354906000,
251,D36,252,93640.685339999996359,0.304674354906000,
252,D37,253,93640.685339999996359,0.304674354906000,scandinavia
253,D38,254,93640.685339999996359,0.304674354906000,scandinavia
254,D39,255,93640.685339999996359,0.304674354906000,scandinavia
255,D40,256,93640.685339999996359,0.304674354906000,scandinavia
256,D41,257,93640.685339999996359,0.304674354906000,scandinavia
257,D42,258,93640.685339999996359,0.304674354906000,scandinavia
258,D43,259,93640.685339999996359,0.304674354906000,scandinavia
259,D44,260,93640.685339999996359,0.304674354906000,scandinavia
260,D45,261,93640.685339999996359,0.304674354906000,siberia
261,D46,262,93640.685339999996359,0.304674354906000,
262,D47,263,93640.685339999996359,0.304674354906000,
263,D48,264,93640.685339999996359,0.304674354906000,
264,D49,265,93640.685339999996359,0.304674354906000,
265,D50,266,93640.685339999996359,0.304674354906000,
266,D51,267,93640.685339999996359,0.304674354906000,
267,D52,268,93640.685339999996359,0.304674354906000,
268,D53,269,93640.685339999996359,0.304674354906000,
269,D54,270,93640.685339999996359,0.304674354906000,
270,D55,271,93640.685339999996359,0.304674354906000,
271,D56,272,93640.685339999996359,0.304674354906000,
272,D57,273,93640.685339999996359,0.304674354906000,siberia
273,D58,274,93640.685339999996359,0.304674354906000,
274,D59,275,93640.685339999996359,0.304674354906000,
275,D60,276,93640.685339999996359,0.304674354906000,
276,D61,277,93640.685339999996359,0.304674354906000,siberia
277,D62,278,93640.685339999996359,0.304674354906000,siberia
278,D63,279,93640.685339999996359,0.304674354906000,
279,D64,280,93640.685339999996359,0.304674354906000,
280,D65,281,93640.685339999996359,0.304674354906000,
281,D66,282,93640.685339999996359,0.304674354906000,
282,D67,283,93640.685339999996359,0.304674354906000,
283,D68,284,93640.685339999996359,0.304674354906000,
284,D69,285,93640.685339999996359,0.304674354906000,
285,D70,286,93640.685339999996359,0.304674354906000,
286,D71,287,93640.685339999996359,0.304674354906000,
287,D72,288,93640.470731299996260,0.304673656643000,
288,E1,289,119078.841069000001880,0.387441302399000,
289,E2,290,119079.113977999993949,0.387442190350000,
290,E3,291,119079.113977999993949,0.387442190350000,alaska_yukon
291,E4,292,119079.113977999993949,0.387442190350000,alaska_yukon
292,E5,293,119079.113977999993949,0.387442190350000,alaska_yukon
293,E6,294,119079.113977999993949,0.387442190350000,alaska_yukon
294,E7,295,119079.113977999993949,0.387442190350000,alaska_yukon
295,E8,296,119079.113977999993949,0.387442190350000,alaska_yukon
296,E9,297,119079.113977999993949,0.387442190350000,alaska_yukon
297,E10,298,119079.113977999993949,0.387442190350000,alaska_yukon
298,E11,299,119079.113977999993949,0.387442190350000,alaska_yukon
299,E12,300,119079.113977999993949,0.387442190350000,c_canada
300,E13,301,119079.113977999993949,0.387442190350000,c_canada
301,E14,302,119079.113977999993949,0.387442190350000,c_canada
302,E15,303,119079.113977999993949,0.387442190350000,c_canada
303,E16,304,119079.113977999993949,0.387442190350000,c_canada
304,E17,305,119079.113977999993949,0.387442190350000,c_canada
305,E18,306,119079.113977999993949,0.387442190350000,c_canada
306,E19,307,119079.113977999993949,0.387442190350000,
307,E20,308,119079.113977999993949,0.387442190350000,
308,E21,309,119079.113977999993949,0.387442190350000,greenland
309,E22,310,119079.113977999993949,0.387442190350000,greenland
310,E23,311,119079.113977999993949,0.387442190350000,greenland
311,E24,312,119079.113977999993949,0.387442190350000,greenland
312,E25,313,119079.113977999993949,0.387442190350000,greenland
313,E26,314,119079.113977999993949,0.387442190350000,greenland
314,E27,315,119079.113977999993949,0.387442190350000,greenland
315,E28,316,119079.113977999993949,0.387442190350000,greenland
316,E29,317,119079.113977999993949,0.387442190350000,greenland
317,E30,318,119079.113977999993949,0.387442190350000,greenland
318,E31,319,119079.113977999993949,0.387442190350000,greenland
319,E32,320,119079.113977999993949,0.387442190350000,iceland
320,E33,321,119079.113977999993949,0.387442190350000,iceland
321,E34,322,119079.113977999993949,0.387442190350000,
322,E35,323,119079.113977999993949,0.387442190350000,
323,E36,324,119079.113977999993949,0.387442190350000,
324,E37,325,119079.113977999993949,0.387442190350000,scandinavia
325,E38,326,119079.113977999993949,0.387442190350000,scandinavia
326,E39,327,119079.113977999993949,0.387442190350000,scandinavia
327,E40,328,119079.113977999993949,0.387442190350000,scandinavia
328,E41,329,119079.113977999993949,0.387442190350000,scandinavia
329,E42,330,119079.113977999993949,0.387442190350000,scandinavia
330,E43,331,119079.113977999993949,0.387442190350000,scandinavia
331,E44,332,119079.113977999993949,0.387442190350000,scandinavia
332,E45,333,119079.113977999993949,0.387442190350000,
333,E46,334,119079.113977999993949,0.387442190350000,
334,E47,335,119079.113977999993949,0.387442190350000,
335,E48,336,119079.113977999993949,0.387442190350000,siberia
336,E49,337,119079.113977999993949,0.387442190350000,siberia
337,E50,338,119079.113977999993949,0.387442190350000,siberia
338,E51,339,119079.113977999993949,0.387442190350000,siberia
339,E52,340,119079.113977999993949,0.387442190350000,
340,E53,341,119079.113977999993949,0.387442190350000,
341,E54,342,119079.113977999993949,0.387442190350000,
342,E55,343,119079.113977999993949,0.387442190350000,siberia
343,E56,344,119079.113977999993949,0.387442190350000,
344,E57,345,119079.113977999993949,0.387442190350000,
345,E58,346,119079.113977999993949,0.387442190350000,
346,E59,347,119079.113977999993949,0.387442190350000,
347,E60,348,119079.113977999993949,0.387442190350000,
348,E61,349,119079.113977999993949,0.387442190350000,siberia
349,E62,350,119079.113977999993949,0.387442190350000,siberia
350,E63,351,119079.113977999993949,0.387442190350000,
351,E64,352,119079.113977999993949,0.387442190350000,
352,E65,353,119079.113977999993949,0.387442190350000,
353,E66,354,119079.113977999993949,0.387442190350000,
354,E67,355,119079.113977999993949,0.387442190350000,
355,E68,356,119079.113977999993949,0.387442190350000,
356,E69,357,119079.113977999993949,0.387442190350000,
357,E70,358,119079.113977999993949,0.387442190350000,
358,E71,359,119079.113977999993949,0.387442190350000,russian_far_east
359,E72,360,119078.841069000001880,0.387441302399000,
360,F1,361,143552.638264999986859,0.467070561259000,
361,F2,362,143552.967264000006253,0.467071631708000,
362,F3,363,143552.967264000006253,0.467071631708000,alaska_yukon
363,F4,364,143552.967264000006253,0.467071631708000,alaska_yukon
364,F5,365,143552.967264000006253,0.467071631708000,alaska_yukon
365,F6,366,143552.967264000006253,0.467071631708000,alaska_yukon
366,F7,367,143552.967264000006253,0.467071631708000,alaska_yukon
367,F8,368,143552.967264000006253,0.467071631708000,alaska_yukon
368,F9,369,143552.967264000006253,0.467071631708000,alaska_yukon
369,F10,370,143552.967264000006253,0.467071631708000,alaska_yukon
370,F11,371,143552.967264000006253,0.467071631708000,alaska_yukon
371,F12,372,143552.967264000006253,0.467071631708000,c_canada
372,F13,373,143552.967264000006253,0.467071631708000,c_canada
373,F14,374,143552.967264000006253,0.467071631708000,c_canada
374,F15,375,143552.967264000006253,0.467071631708000,c_canada
375,F16,376,143552.967264000006253,0.467071631708000,c_canada
376,F17,377,143552.967264000006253,0.467071631708000,
377,F18,378,143552.967264000006253,0.467071631708000,
378,F19,379,143552.967264000006253,0.467071631708000,
379,F20,380,143552.967264000006253,0.467071631708000,
380,F21,381,143552.967264000006253,0.467071631708000,
381,F22,382,143552.967264000006253,0.467071631708000,
382,F23,383,143552.967264000006253,0.467071631708000,
383,F24,384,143552.967264000006253,0.467071631708000,
384,F25,385,143552.967264000006253,0.467071631708000,
385,F26,386,143552.967264000006253,0.467071631708000,
386,F27,387,143552.967264000006253,0.467071631708000,greenland
387,F28,388,143552.967264000006253,0.467071631708000,greenland
388,F29,389,143552.967264000006253,0.467071631708000,
389,F30,390,143552.967264000006253,0.467071631708000,
390,F31,391,143552.967264000006253,0.467071631708000,
391,F32,392,143552.967264000006253,0.467071631708000,iceland
392,F33,393,143552.967264000006253,0.467071631708000,iceland
393,F34,394,143552.967264000006253,0.467071631708000,british_isle
394,F35,395,143552.967264000006253,0.467071631708000,british_isle
395,F36,396,143552.967264000006253,0.467071631708000,british_isle
396,F37,397,143552.967264000006253,0.467071631708000,scandinavia
397,F38,398,143552.967264000006253,0.467071631708000,scandinavia
398,F39,399,143552.967264000006253,0.467071631708000,scandinavia
399,F40,400,143552.967264000006253,0.467071631708000,scandinavia
400,F41,401,143552.967264000006253,0.467071631708000,scandinavia
401,F42,402,143552.967264000006253,0.467071631708000,scandinavia
402,F43,403,143552.967264000006253,0.467071631708000,
403,F44,404,143552.967264000006253,0.467071631708000,
404,F45,405,143552.967264000006253,0.467071631708000,
405,F46,406,143552.967264000006253,0.467071631708000,
406,F47,407,143552.967264000006253,0.467071631708000,
407,F48,408,143552.967264000006253,0.467071631708000,
408,F49,409,143552.967264000006253,0.467071631708000,
409,F50,410,143552.967264000006253,0.467071631708000,
410,F51,411,143552.967264000006253,0.467071631708000,
411,F52,412,143552.967264000006253,0.467071631708000,
412,F53,413,143552.967264000006253,0.467071631708000,
413,F54,414,143552.967264000006253,0.467071631708000,
414,F55,415,143552.967264000006253,0.467071631708000,
415,F56,416,143552.967264000006253,0.467071631708000,
416,F57,417,143552.967264000006253,0.467071631708000,
417,F58,418,143552.967264000006253,0.467071631708000,
418,F59,419,143552.967264000006253,0.467071631708000,
419,F60,420,143552.967264000006253,0.467071631708000,
420,F61,421,143552.967264000006253,0.467071631708000,siberia
421,F62,422,143552.967264000006253,0.467071631708000,siberia
422,F63,423,143552.967264000006253,0.467071631708000,
423,F64,424,143552.967264000006253,0.467071631708000,
424,F65,425,143552.967264000006253,0.467071631708000,
425,F66,426,143552.967264000006253,0.467071631708000,
426,F67,427,143552.967264000006253,0.467071631708000,
427,F68,428,143552.967264000006253,0.467071631708000,
428,F69,429,143552.967264000006253,0.467071631708000,
429,F70,430,143552.967264000006253,0.467071631708000,
430,F71,431,143552.967264000006253,0.467071631708000,russian_far_east
431,F72,432,143552.638264999986859,0.467070561259000,
432,G1,433,166871.486100999987684,0.542942014952000,
433,G2,434,166871.868542999989586,0.542943259286000,
434,G3,435,166871.868542999989586,0.542943259286000,alaska_yukon
435,G4,436,166871.868542999989586,0.542943259286000,alaska_yukon
436,G5,437,166871.868542999989586,0.542943259286000,alaska_yukon
437,G6,438,166871.868542999989586,0.542943259286000,alaska_yukon
438,G7,439,166871.868542999989586,0.542943259286000,alaska_yukon
439,G8,440,166871.868542999989586,0.542943259286000,alaska_yukon
440,G9,441,166871.868542999989586,0.542943259286000,alaska_yukon
441,G10,442,166871.868542999989586,0.542943259286000,alaska_yukon
442,G11,443,166871.868542999989586,0.542943259286000,alaska_yukon
443,G12,444,166871.868542999989586,0.542943259286000,c_canada
444,G13,445,166871.868542999989586,0.542943259286000,c_canada
445,G14,446,166871.868542999989586,0.542943259286000,c_canada
446,G15,447,166871.868542999989586,0.542943259286000,c_canada
447,G16,448,166871.868542999989586,0.542943259286000,c_canada
448,G17,449,166871.868542999989586,0.542943259286000,
449,G18,450,166871.868542999989586,0.542943259286000,
450,G19,451,166871.868542999989586,0.542943259286000,
451,G20,452,166871.868542999989586,0.542943259286000,
452,G21,453,166871.868542999989586,0.542943259286000,new_england_labrador
453,G22,454,166871.868542999989586,0.542943259286000,new_england_labrador
454,G23,455,166871.868542999989586,0.542943259286000,new_england_labrador
455,G24,456,166871.868542999989586,0.542943259286000,new_england_labrador
456,G25,457,166871.868542999989586,0.542943259286000,new_england_labrador
457,G26,458,166871.868542999989586,0.542943259286000,new_england_labrador
458,G27,459,166871.868542999989586,0.542943259286000,greenland
459,G28,460,166871.868542999989586,0.542943259286000,
460,G29,461,166871.868542999989586,0.542943259286000,
461,G30,462,166871.868542999989586,0.542943259286000,iceland
462,G31,463,166871.868542999989586,0.542943259286000,iceland
463,G32,464,166871.868542999989586,0.542943259286000,iceland
464,G33,465,166871.868542999989586,0.542943259286000,iceland
465,G34,466,166871.868542999989586,0.542943259286000,british_isle
466,G35,467,166871.868542999989586,0.542943259286000,british_isle
467,G36,468,166871.868542999989586,0.542943259286000,british_isle
468,G37,469,166871.868542999989586,0.542943259286000,
469,G38,470,166871.868542999989586,0.542943259286000,scandinavia
470,G39,471,166871.868542999989586,0.542943259286000,scandinavia
471,G40,472,166871.868542999989586,0.542943259286000,
472,G41,473,166871.868542999989586,0.542943259286000,c_europe
473,G42,474,166871.868542999989586,0.542943259286000,c_europe
474,G43,475,166871.868542999989586,0.542943259286000,c_europe
475,G44,476,166871.868542999989586,0.542943259286000,
476,G45,477,166871.868542999989586,0.542943259286000,
477,G46,478,166871.868542999989586,0.542943259286000,
478,G47,479,166871.868542999989586,0.542943259286000,
479,G48,480,166871.868542999989586,0.542943259286000,
480,G49,481,166871.868542999989586,0.542943259286000,
481,G50,482,166871.868542999989586,0.542943259286000,
482,G51,483,166871.868542999989586,0.542943259286000,
483,G52,484,166871.868542999989586,0.542943259286000,siberia
484,G53,485,166871.868542999989586,0.542943259286000,siberia
485,G54,486,166871.868542999989586,0.542943259286000,
486,G55,487,166871.868542999989586,0.542943259286000,
487,G56,488,166871.868542999989586,0.542943259286000,
488,G57,489,166871.868542999989586,0.542943259286000,
489,G58,490,166871.868542999989586,0.542943259286000,
490,G59,491,166871.868542999989586,0.542943259286000,
491,G60,492,166871.868542999989586,0.542943259286000,
492,G61,493,166871.868542999989586,0.542943259286000,
493,G62,494,166871.868542999989586,0.542943259286000,
494,G63,495,166871.868542999989586,0.542943259286000,
495,G64,496,166871.868542999989586,0.542943259286000,
496,G65,497,166871.868542999989586,0.542943259286000,
497,G66,498,166871.868542999989586,0.542943259286000,
498,G67,499,166871.868542999989586,0.542943259286000,
499,G68,500,166871.868542999989586,0.542943259286000,russian_far_east
500,G69,501,166871.868542999989586,0.542943259286000,russian_far_east
501,G70,502,166871.868542999989586,0.542943259286000,russian_far_east
502,G71,503,166871.868542999989586,0.542943259286000,russian_far_east
503,G72,504,166871.486100999987684,0.542942014952000,
504,H1,505,188858.089957999996841,0.614478808199000,
505,H2,506,188858.522789999988163,0.614480216485000,
506,H3,507,188858.522789999988163,0.614480216485000,
507,H4,508,188858.522789999988163,0.614480216485000,
508,H5,509,188858.522789999988163,0.614480216485000,
509,H6,510,188858.522789999988163,0.614480216485000,
510,H7,511,188858.522789999988163,0.614480216485000,
511,H8,512,188858.522789999988163,0.614480216485000,
512,H9,513,188858.522789999988163,0.614480216485000,
513,H10,514,188858.522789999988163,0.614480216485000,alaska_yukon
514,H11,515,188858.522789999988163,0.614480216485000,
515,H12,516,188858.522789999988163,0.614480216485000,
516,H13,517,188858.522789999988163,0.614480216485000,c_canada
517,H14,518,188858.522789999988163,0.614480216485000,
518,H15,519,188858.522789999988163,0.614480216485000,
519,H16,520,188858.522789999988163,0.614480216485000,midwest
520,H17,521,188858.522789999988163,0.614480216485000,midwest
521,H18,522,188858.522789999988163,0.614480216485000,midwest
522,H19,523,188858.522789999988163,0.614480216485000,
